No.,SDLC Phase,Task / Activity,AI Tool Used,AI Output,Student's Validation / Modification,Evidence / Link,Quantitative Measure,Value Added (1-5),Risks / Limitations Observed
1,Requirement,Phân tích yêu cầu dự án EV Data Marketplace,ChatGPT,"Tài liệu phân tích yêu cầu với 4 user roles (Admin, Moderator, DataProvider, DataConsumer), 3 loại gói mua (Data Package, Subscription Package, API Package), và luồng thanh toán PayOS","Điều chỉnh thêm yêu cầu về revenue sharing và moderation workflow","GroupX_Session1_Requirement.png","1 tài liệu yêu cầu (15 trang)",5,"Một số yêu cầu chưa rõ ràng về business logic, cần làm rõ thêm"
2,Requirement,Phát triển User Stories cho các actors,ChatGPT,"10 user stories cho Admin, 8 cho Moderator, 12 cho DataProvider, 15 cho DataConsumer","Giữ lại 8 user stories Admin, 6 Moderator, 10 DataProvider, 12 DataConsumer, viết lại 3 stories không phù hợp","GroupX_Session1_UserStories.png","36 user stories được chấp nhận",4,"Một số user stories quá chi tiết, cần đơn giản hóa"
3,Design,Thiết kế ERD cho database schema,ChatGPT,"ERD với 15 entities: User, DataProvider, DataConsumer, Dataset, DatasetRecord, Payment, RevenueShare, Payout, SystemPricing, Province, District, APIKey, và các purchase models","Điều chỉnh foreign keys, thêm indexes cho performance, thêm District model cho location filtering","GroupX_Session2_ERD.png","15 entities, 20 relationships",5,"ERD ban đầu thiếu District model, cần bổ sung"
4,Design,Thiết kế API endpoints và DTOs,ChatGPT,"Danh sách 40+ API endpoints với request/response DTOs cho tất cả controllers","Điều chỉnh naming convention, thêm validation attributes, bổ sung error response models","GroupX_Session2_API_Design.png","40+ endpoints, 25 DTOs",4,"Một số endpoints thiếu error handling, cần bổ sung"
5,Design,Thiết kế workflow cho Payment và Revenue Sharing,ChatGPT,"Flowchart mô tả luồng thanh toán PayOS và tính toán revenue sharing cho 3 loại package","Điều chỉnh logic revenue sharing: DataPackage theo contribution %, Subscription/API Package chia đều","GroupX_Session2_PaymentFlow.png","1 workflow diagram",5,"Logic ban đầu chưa rõ ràng về cách tính contribution"
6,Implementation,Setup .NET 8.0 project structure và Entity Framework Core,GitHub Copilot,"Project structure với Controllers, Services, Repositories, Models, DTOs folders, DbContext configuration","Tự tạo project structure, sử dụng Copilot để generate boilerplate code cho DbContext","GroupX_Session3_ProjectSetup.png","1 solution, 1 API project",3,"Copilot đôi khi suggest code không phù hợp với project structure"
7,Implementation,Tạo Models cho database entities,ChatGPT,"Code cho 15 models: User, DataProvider, DataConsumer, Dataset, DatasetRecord, Payment, RevenueShare, Payout, SystemPricing, Province, District, APIKey, DataPackagePurchase, SubscriptionPackagePurchase, APIPackagePurchase","Điều chỉnh data types, thêm validation attributes, sửa relationships, thêm District model","GroupX_Session3_Models.png","15 models, ~800 LOC",5,"Một số models ban đầu thiếu required fields, cần bổ sung"
8,Implementation,Tạo DbContext và Migrations,ChatGPT,"EVDataMarketplaceDbContext với DbSets, relationships configuration, và InitialCreate migration","Điều chỉnh decimal precision, thêm indexes, sửa foreign key constraints","GroupX_Session3_DbContext.png","1 DbContext, 1 migration",4,"Migration ban đầu có lỗi về foreign keys, cần sửa"
9,Implementation,Implement Authentication Service với JWT,ChatGPT,"AuthService với JWT token generation, validation, và role-based authorization","Điều chỉnh token expiry time, thêm refresh token logic (chưa implement), sửa role mapping","GroupX_Session4_AuthService.png","1 service, ~200 LOC",5,"JWT secret key cần được bảo mật tốt hơn trong production"
10,Implementation,Tạo AuthController với register/login endpoints,ChatGPT,"AuthController với POST /api/auth/register và POST /api/auth/login","Thêm input validation, error handling, sửa response format","GroupX_Session4_AuthController.png","1 controller, 2 endpoints",4,"Thiếu rate limiting cho login endpoint"
11,Implementation,Implement CsvParserService để parse và validate CSV files,ChatGPT,"CsvParserService với template validation, field parsing, và DatasetRecord creation","Sửa lỗi parsing dates, thêm validation cho ProvinceId/DistrictId, cải thiện error messages","GroupX_Session5_CsvParser.png","1 service, ~300 LOC",5,"CSV parser ban đầu không handle edge cases tốt"
12,Implementation,Tạo DatasetsController với upload và template download,ChatGPT,"DatasetsController với GET /api/datasets/template và POST /api/datasets","Thêm file size validation, sửa multipart form handling, cải thiện error responses","GroupX_Session5_DatasetsController.png","1 controller, 5 endpoints",4,"File upload cần thêm progress tracking"
13,Implementation,Implement DataPackageController với preview và purchase,ChatGPT,"DataPackageController với preview, purchase, download endpoints","Sửa logic merge data từ multiple providers, thêm date range filtering, cải thiện CSV generation","GroupX_Session6_DataPackage.png","1 controller, 4 endpoints",5,"Logic merge ban đầu có bug với duplicate records"
14,Implementation,Implement SubscriptionPackageController với dashboard và charts,ChatGPT,"SubscriptionPackageController với purchase, dashboard, và 3 chart endpoints (energy-over-time, station-distribution, peak-hours)","Sửa aggregation queries, thêm pagination, cải thiện chart data format","GroupX_Session6_SubscriptionPackage.png","1 controller, 6 endpoints",5,"Chart queries ban đầu chậm với large datasets"
15,Implementation,Implement APIPackageController với API key generation,ChatGPT,"APIPackageController với purchase, generate-key, và public GET /api/data endpoint","Thêm API key validation middleware, sửa rate limiting logic, cải thiện error responses","GroupX_Session6_APIPackage.png","1 controller, 5 endpoints",4,"API key rate limiting cần được implement tốt hơn"
16,Implementation,Implement PayOSService với payment gateway integration,ChatGPT,"PayOSService với create payment, webhook validation, và callback handling","Sửa webhook signature validation, thêm retry logic, cải thiện error handling","GroupX_Session7_PayOSService.png","1 service, ~250 LOC",5,"Webhook validation ban đầu có lỗi với signature"
17,Implementation,Tạo PaymentsController với PayOS integration,ChatGPT,"PaymentsController với create, webhook, callback, và status check endpoints","Sửa payment status update logic, thêm transaction logging, cải thiện redirect URLs","GroupX_Session7_PaymentsController.png","1 controller, 4 endpoints",5,"Payment callback ban đầu có race condition"
18,Implementation,Implement revenue sharing logic trong PaymentsController,ChatGPT,"Code để tính toán và tạo RevenueShare records cho 3 loại package sau khi payment completed","Sửa calculation logic cho DataPackage (contribution %), Subscription/API Package (equal split), thêm validation","GroupX_Session7_RevenueSharing.png","~150 LOC revenue sharing logic",5,"Logic ban đầu tính sai contribution percentage"
19,Implementation,Tạo ModerationController với approve/reject workflow,ChatGPT,"ModerationController với pending list, preview data, download, approve, reject endpoints","Thêm pagination cho preview, sửa download CSV generation, cải thiện moderation history","GroupX_Session8_ModerationController.png","1 controller, 6 endpoints",4,"Preview endpoint ban đầu không paginate tốt"
20,Implementation,Implement PayoutsController với monthly payout processing,ChatGPT,"PayoutsController với list payouts, provider earnings, và process payout endpoints","Sửa calculation logic, thêm month filter validation, cải thiện stats aggregation","GroupX_Session8_PayoutsController.png","1 controller, 3 endpoints",5,"Payout calculation ban đầu có bug với month filtering"
21,Implementation,Tạo PricingController để quản lý SystemPricing,ChatGPT,"PricingController với CRUD operations cho SystemPricing (3 package types)","Thêm validation cho commission percentages, sửa toggle-active endpoint, cải thiện response format","GroupX_Session8_PricingController.png","1 controller, 4 endpoints",3,"CRUD operations khá đơn giản, không cần nhiều AI support"
22,Implementation,Tạo DbSeeder để seed initial data,ChatGPT,"DbSeeder với 63 provinces, 62 districts, 3 SystemPricing configs, và 4 test users","Điều chỉnh district data (chỉ 3 thành phố lớn), sửa pricing values, thêm test revenue shares","GroupX_Session9_DbSeeder.png","1 seeder, ~400 LOC",4,"Seeder ban đầu có duplicate data"
23,Implementation,Setup React 19 project với Vite và TypeScript,ChatGPT,"Vite config, TypeScript config, và project structure với src/, components/, pages/, api/ folders","Tự setup project, sử dụng AI để generate config files và folder structure","GroupX_Session9_ReactSetup.png","1 React project, config files",3,"Setup khá standard, không cần nhiều AI"
24,Implementation,Tạo AuthContext với JWT token management,ChatGPT,"AuthContext với login, logout, token storage, và auto-logout on 401","Điều chỉnh token storage logic, thêm role normalization, sửa auto-logout handling","GroupX_Session10_AuthContext.png","1 context, ~150 LOC",5,"Token refresh logic chưa được implement"
25,Implementation,Tạo API client với Axios và JWT injection,ChatGPT,"API client với Axios instance, JWT token injection, 401 handling, và error responses","Thêm retry logic, cải thiện error messages, sửa base URL configuration","GroupX_Session10_APIClient.png","1 client file, ~100 LOC",4,"Error handling ban đầu không đầy đủ"
26,Implementation,Tạo routes và role-based layouts,ChatGPT,"Routes configuration và SmartLayout component để auto-select layout based on user role","Điều chỉnh route paths, sửa layout selection logic, thêm protected routes","GroupX_Session10_Routes.png","1 routes file, 4 layout components",4,"Route protection ban đầu có lỗi với nested routes"
27,Implementation,Tạo Login và Register pages,ChatGPT,"Login và Register components với form validation và API integration","Thêm demo credential buttons, cải thiện error display, sửa form validation","GroupX_Session11_LoginRegister.png","2 pages, ~300 LOC",3,"Form validation khá standard"
28,Implementation,Tạo Home page với dataset catalog,ChatGPT,"Home component với dataset listing, search, filter, và pagination","Tích hợp với API, thêm loading states, cải thiện UI với TailwindCSS","GroupX_Session11_Home.png","1 page, ~250 LOC",4,"Pagination ban đầu không hoạt động tốt"
29,Implementation,Tạo ProviderNew page với CSV upload,ChatGPT,"ProviderNew component với file upload, form validation, và upload progress","Tích hợp với API, thêm file validation, cải thiện error handling","GroupX_Session12_ProviderNew.png","1 page, ~200 LOC",4,"File upload ban đầu không show progress"
30,Implementation,Tạo DataPackagePurchase page,ChatGPT,"DataPackagePurchase component với location selection, date range picker, và preview","Tích hợp với preview API, thêm validation, cải thiện UI","GroupX_Session12_DataPackagePurchase.png","1 page, ~300 LOC",4,"Date picker ban đầu có timezone issues"
31,Implementation,Tạo SubscriptionPurchase và SubscriptionDashboard pages,ChatGPT,"SubscriptionPurchase và SubscriptionDashboard với charts integration","Tích hợp với dashboard API, thêm chart libraries (Recharts), cải thiện data visualization","GroupX_Session13_Subscription.png","2 pages, ~400 LOC",5,"Charts ban đầu không responsive"
32,Implementation,Tạo APIPackagePurchase và APIPackageKeys pages,ChatGPT,"APIPackagePurchase và APIPackageKeys với API key generation và management","Tích hợp với API, thêm copy-to-clipboard, cải thiện key display","GroupX_Session13_APIPackage.png","2 pages, ~250 LOC",4,"API key display ban đầu không secure"
33,Implementation,Tạo MyPurchases page với download/access links,ChatGPT,"MyPurchases component với list all purchases, download buttons, và dashboard links","Tích hợp với API, thêm loading states, cải thiện purchase cards","GroupX_Session14_MyPurchases.png","1 page, ~300 LOC",4,"Purchase list ban đầu không filter theo type"
34,Implementation,Tạo AdminDashboard với system stats,ChatGPT,"AdminDashboard với revenue stats, user counts, dataset counts, và recent activities","Tích hợp với API, thêm charts, cải thiện data visualization","GroupX_Session14_AdminDashboard.png","1 page, ~350 LOC",4,"Stats ban đầu không real-time"
35,Implementation,Tạo AdminPricing page với SystemPricing management,ChatGPT,"AdminPricing component với CRUD operations cho 3 package types","Tích hợp với API, thêm form validation, cải thiện UI","GroupX_Session15_AdminPricing.png","1 page, ~250 LOC",3,"CRUD operations khá đơn giản"
36,Implementation,Tạo AdminPayouts page với payout processing,ChatGPT,"AdminPayouts component với revenue summary, provider table, và payout generation","Tích hợp với API, sửa calculation display, cải thiện month filter","GroupX_Session15_AdminPayouts.png","1 page, ~400 LOC",5,"Payout calculation ban đầu có nhiều bugs"
37,Implementation,Tạo ModeratorReview page với dataset moderation,ChatGPT,"ModeratorReview component với pending list, preview table, và approve/reject actions","Tích hợp với API, thêm pagination, cải thiện preview UI","GroupX_Session16_ModeratorReview.png","1 page, ~350 LOC",4,"Preview table ban đầu không handle large datasets"
38,Implementation,Tạo ProviderDashboard với earnings display,ChatGPT,"ProviderDashboard với dataset list, earnings summary, và revenue chart","Tích hợp với API, thêm charts, cải thiện data display","GroupX_Session16_ProviderDashboard.png","1 page, ~300 LOC",4,"Earnings calculation ban đầu không chính xác"
39,Testing,Test authentication flow với các roles,ChatGPT,"Test cases cho register, login, và role-based access control","Tự viết test cases, sử dụng AI để generate test data, thực hiện manual testing","GroupX_Session17_Testing_Auth.png","10 test cases",3,"Manual testing tốn thời gian, cần automated tests"
40,Testing,Test dataset upload và moderation workflow,ChatGPT,"Test cases cho CSV upload, validation, moderation approve/reject","Tự viết test cases, tạo test CSV files, thực hiện end-to-end testing","GroupX_Session17_Testing_Moderation.png","8 test cases",4,"CSV validation có edge cases chưa cover"
41,Testing,Test payment flow với PayOS integration,ChatGPT,"Test cases cho payment creation, PayOS redirect, callback, và revenue sharing","Tự viết test cases, test với PayOS sandbox, verify revenue shares","GroupX_Session18_Testing_Payment.png","12 test cases",5,"Payment callback testing phức tạp với PayOS sandbox"
42,Testing,Test 3 package types purchase flows,ChatGPT,"Test cases cho DataPackage, SubscriptionPackage, và APIPackage purchases","Tự viết test cases, test download, dashboard access, API key generation","GroupX_Session18_Testing_Packages.png","15 test cases",4,"API package testing cần nhiều manual steps"
43,Testing,Test admin payout processing,ChatGPT,"Test cases cho payout generation, calculation verification, và completion","Tự viết test cases, verify calculations, test month filtering","GroupX_Session19_Testing_Payouts.png","6 test cases",5,"Payout calculation có nhiều bugs cần fix"
